depmap_id	cell_line_name	stripped_cell_line_name	cell_line	aliases	cosmic_id	sex	source	RRID	WTSI_master_cell_ID	sample_collection_site	primary_or_metastasis	primary_disease	subtype_disease	age	sanger_id	additional_info	lineage	lineage_subtype	lineage_sub_subtype	lineage_molecular_subtype	default_growth_pattern	model_manipulation	model_manipulation_details	patient_id	parent_depmap_id	Cellosaurus_NCIt_disease	Cellosaurus_NCIt_id	Cellosaurus_issues
ACH-000689	RH-18	RH18	RH18_SOFT_TISSUE	NA	971774	Female	DSMZ	CVCL_1659	861	soft_tissue	NA	Sarcoma	Rhabdomyosarcoma	2	SIDM00454	NA	soft_tissue	rhabdomyosarcoma	NA	NA	NA	NA	NA	PT-W27kK4	NA	Alveolar rhabdomyosarcoma	C3749	NA
ACH-000690	HCC-2814	HCC2814	HCC2814_LUNG	NA	NA	Male	Academic lab	CVCL_V586	NA	lung	NA	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	55	NA	NA	lung	NSCLC	NSCLC_squamous	NA	NA	NA	NA	PT-TTn4cT	NA	Lung squamous cell carcinoma	C3493	NA
ACH-000691	HCC2157	HCC2157	HCC2157_BREAST	NA	749715	Female	ATCC	CVCL_1261	351	breast	Primary	Breast Cancer	Breast Ductal Carcinoma	48	SIDM00774	NA	breast	breast_ductal_carcinoma	ERneg_HER2neg	basal_A	2D: suspension	NA	NA	PT-vOaofa	NA	Breast ductal carcinoma	C4017	NA
ACH-000692	SNU-899	SNU899	SNU899_UPPER_AERODIGESTIVE_TRACT	NA	NA	Male	KCLB	CVCL_5105	NA	upper_aerodigestive_tract	Primary	Head and Neck Cancer	Squamous Cell Carcinoma, laryngeal	56	SIDM00169	NA	upper_aerodigestive	upper_aerodigestive_squamous	laryngeal	NA	NA	NA	NA	PT-7eZ7vS	NA	Laryngeal squamous cell carcinoma	C4044	NA
ACH-000693	KYSE-180	KYSE180	KYSE180_OESOPHAGUS	NA	907318	Male	DSMZ	CVCL_1349	599	oesophagus	Primary	Esophageal Cancer	Squamous Cell Carcinoma	53	SIDM01030	NA	esophagus	esophagus_squamous	NA	NA	2D: adherent	NA	NA	PT-mOm35A	NA	Esophageal squamous cell carcinoma	C4024	NA
ACH-000694	TE-9	TE9	TE9_OESOPHAGUS	NA	946353	Male	RIKEN	CVCL_1767	1312	pleural_effusion	Metastasis	Esophageal Cancer	Squamous Cell Carcinoma	48	SIDM00325	NA	esophagus	esophagus_squamous	NA	NA	2D: adherent	NA	NA	PT-bNO06l	NA	Esophageal squamous cell carcinoma	C4024	NA
ACH-000695	COR-L47	CORL47	CORL47_LUNG	NA	NA	Male	ECACC	CVCL_2415	NA	bone_marrow	Metastasis	Lung Cancer	Small Cell Lung Cancer (SCLC)	67	NA	NA	lung	SCLC	NA	NA	2D: suspension	NA	NA	PT-WHXDvG	NA	Lung small cell carcinoma	C4917	NA
ACH-000696	OVCAR-8	OVCAR8	OVCAR8_OVARY	NA	905991	Female	NCI/DCTD	CVCL_1629	2131	ovary	Primary	Ovarian Cancer	Adenocarcinoma, high grade serous	64	SIDM00090	NA	ovary	ovary_adenocarcinoma	high_grade_serous	NA	NA	NA	NA	PT-AlUnJX	NA	High grade ovarian serous adenocarcinoma	C105555	NA
ACH-000697	A3/KAW	A3KAW	A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	910935	Female	HSRRB	CVCL_1062	1511	ascites	Primary	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	68	SIDM00495	NA	lymphocyte	non_hodgkin_lymphoma	DLBCL	NA	2D: suspension	NA	NA	PT-T19rUu	NA	Diffuse large B-cell lymphoma	C8851	NA
ACH-000698	DMS 53	DMS53	DMS53_LUNG	NA	907295	Male	ATCC	CVCL_1177	580	lung	Primary	Lung Cancer	Small Cell Lung Cancer (SCLC)	54	SIDM00523	NA	lung	SCLC	NA	NA	NA	NA	NA	PT-ERlBcq	NA	Lung small cell carcinoma	C4917	NA
ACH-000699	HCC1395	HCC1395	HCC1395_BREAST	NA	749712	Female	ATCC	CVCL_1249	94	breast	Primary	Breast Cancer	Breast Ductal Carcinoma	43	SIDM00884	NA	breast	breast_ductal_carcinoma	ERneg_HER2neg	basal_B	2D: adherent	NA	NA	PT-8MisfZ	NA	Breast ductal carcinoma	C4017	NA
ACH-000700	NA	NCIH2882	NCIH2882_LUNG	NCI-H2882	NA	Female	Academic lab	CVCL_5158	NA	lung	NA	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	61	NA	NA	lung	NSCLC	NSCLC_squamous	NA	NA	NA	NA	PT-o9axOH	NA	Lung squamous cell carcinoma	C3493	NA
ACH-000701	RMUG-S	RMUGS	RMUGS_OVARY	NA	NA	Female	HSRRB	CVCL_3158	NA	ovary	Primary	Ovarian Cancer	Cystadenocarcinoma, mucinous	62	NA	NA	ovary	ovary_adenocarcinoma	mucinous	NA	NA	NA	NA	PT-ColGZ0	NA	Ovarian mucinous cystadenocarcinoma	C4026	NA
ACH-000702	L-1236	L1236	L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	1330935	Male	DSMZ	CVCL_2096	408	haematopoietic_and_lymphoid_tissue	NA	Lymphoma	B-cell, Hodgkins	34	SIDM00313	NA	lymphocyte	hodgkin_lymphoma	NA	NA	2D: mixed adherent and suspension	NA	NA	PT-ImJeys	NA	Hodgkin lymphoma	C9357	NA
ACH-000703	DMS 79	DMS79	DMS79_LUNG	NA	753551	Male	ATCC	CVCL_1178	300	pleural_effusion	Metastasis	Lung Cancer	Small Cell Lung Cancer (SCLC)	65	SIDM00524	NA	lung	SCLC	NA	NA	2D: suspension	NA	NA	PT-BeO6a2	NA	Lung small cell carcinoma	C4917	NA
ACH-000704	OAW42	OAW42	OAW42_OVARY	NA	910548	Female	ECACC	CVCL_1615	782	ascites	Metastasis	Ovarian Cancer	Carcinoma	46	SIDM00480	NA	ovary	ovary_carcinoma	NA	NA	2D: adherent	NA	NA	PT-9pirK7	NA	Ovarian serous cystadenocarcinoma	C7978	NA
ACH-000705	LC-1F	LC1F	LC1F_LUNG	LC-1/sq-SF	NA	Male	RIKEN	CVCL_1372	NA	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	69	SIDM00298	NA	lung	NSCLC	NSCLC_squamous	NA	2D: mixed adherent and suspension	NA	NA	PT-ZglKg6	ACH-001112	Lung squamous cell carcinoma	C3493	NA
ACH-000706	EKVX	EKVX	EKVX_LUNG	NA	905970	Male	Academic lab	CVCL_1195	322	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NA	SIDM00119	NA	lung	NSCLC	NSCLC_adenocarcinoma	NA	2D: adherent	NA	NA	PT-srkn4o	NA	Lung adenocarcinoma	C3512	NA
ACH-000707	P3HR-1	P3HR1	P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Male	ATCC	CVCL_2676	NA	ascites	NA	Lymphoma	B-cell, Non-Hodgkins, Burkitts	7	SIDM01254	NA	lymphocyte	non_hodgkin_lymphoma	b_cell_burkitt	NA	NA	NA	NA	PT-kbk41J	ACH-002252	EBV-related Burkitt lymphoma	C27694	NA
ACH-000708	SNU-283	SNU283	SNU283_LARGE_INTESTINE	NA	1659929	Female	KCLB	CVCL_5044	2189	abdomen	Metastasis	Colon/Colorectal Cancer	Adenocarcinoma	62	SIDM00215	NA	colorectal	colorectal_adenocarcinoma	NA	NA	NA	NA	NA	PT-dNJJRP	NA	Rectal adenocarcinoma	C9383	NA
ACH-000711	JIMT-1	JIMT1	JIMT1_BREAST	NA	1298157	Female	DSMZ	CVCL_2077	479	pleural_effusion	Metastasis	Breast Cancer	Breast Ductal Carcinoma	62	SIDM01037	NA	breast	breast_ductal_carcinoma	ERneg_HER2pos	basal_A	NA	NA	NA	PT-K0vetf	NA	Breast ductal carcinoma	C4017	NA
ACH-000712	HCC-1833	HCC1833	HCC1833_LUNG	NA	NA	Female	KCLB	CVCL_5129	NA	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	69	NA	NA	lung	NSCLC	NSCLC_adenocarcinoma	NA	NA	NA	NA	PT-0H6Zc0	NA	Lung adenocarcinoma	C3512	NA
ACH-000713	Caov-3	CAOV3	CAOV3_OVARY	NA	906825	Female	ATCC	CVCL_0201	320	ovary	Primary	Ovarian Cancer	Adenocarcinoma, high grade serous	54	SIDM00919	NA	ovary	ovary_adenocarcinoma	high_grade_serous	NA	2D: adherent	NA	NA	PT-FQOeFS	NA	High grade ovarian serous adenocarcinoma	C105555	NA
ACH-000714	KMS-11	KMS11	KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	1659817	Female	HSRRB	CVCL_2989	1308	pleural_effusion	Primary	Myeloma	Multiple Myeloma	67	SIDM00608	NA	plasma_cell	multiple_myeloma	NA	NA	2D: adherent	NA	NA	PT-KR5FTA	NA	Plasma cell myeloma	C3242	NA
ACH-000715	SNU-1214	SNU1214	SNU1214_UPPER_AERODIGESTIVE_TRACT	NA	NA	Male	KCLB	CVCL_5017	NA	upper_aerodigestive_tract	NA	Head and Neck Cancer	Squamous Cell Carcinoma, laryngeal	55	SIDM00167	NA	upper_aerodigestive	upper_aerodigestive_squamous	laryngeal	NA	NA	NA	NA	PT-JkXmPN	NA	Laryngeal squamous cell carcinoma	C4044	NA
ACH-000716	TT2609-C02	TT2609C02	TT2609C02_THYROID	NA	1240223	Male	DSMZ	CVCL_2218	1457	thyroid	NA	Thyroid Cancer	Carcinoma, follicular	57	SIDM00418	NA	thyroid	thyroid_carcinoma	follicular	NA	2D: adherent	NA	NA	PT-EhboSJ	NA	Thyroid gland follicular carcinoma	C8054	NA
ACH-000717	COLO-680N	COLO680N	COLO680N_OESOPHAGUS	NA	906817	Female	DSMZ	CVCL_1131	1469	oesophagus	NA	Esophageal Cancer	Squamous Cell Carcinoma	57	SIDM00956	NA	esophagus	esophagus_squamous	NA	NA	2D: adherent	NA	NA	PT-es34jp	NA	Esophageal squamous cell carcinoma	C4024	NA
ACH-000718	NCI-H2291	NCIH2291	NCIH2291_LUNG	NA	724874	Male	ATCC	CVCL_1546	917	lymph_node	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NA	SIDM00728	NA	lung	NSCLC	NSCLC_adenocarcinoma	NA	2D: adherent	NA	NA	PT-8wDCNH	NA	Lung adenocarcinoma	C3512	NA
ACH-000719	RMG-I	RMGI	RMGI_OVARY	NA	909699	Female	HSRRB	CVCL_1662	1162	ascites	Metastasis	Ovarian Cancer	Adenocarcinoma, clear cell	34	SIDM00352	NA	ovary	ovary_adenocarcinoma	clear_cell	NA	NA	NA	NA	PT-bnZfQQ	NA	Ovarian clear cell adenocarcinoma	C40078	NA
ACH-000720	TCCSUP	TCCSUP	TCCSUP_URINARY_TRACT	NA	687459	Female	ATCC	CVCL_1738	275	urinary_tract	Primary	Bladder Cancer	Transitional Cell Carcinoma	67	SIDM01190	NA	urinary_tract	bladder_carcinoma	bladder_transitional_cell	NA	2D: adherent	NA	NA	PT-ACqBkd	NA	Bladder carcinoma	C4912	NA
ACH-000721	HMC-1-8	HMC18	HMC18_BREAST	NA	NA	Female	HSRRB	CVCL_2949	NA	pleural_effusion	Metastasis	Breast Cancer	Carcinoma	35	NA	NA	breast	breast_carcinoma	ERneg_HER2neg	basal_B	2D: adherent	NA	NA	PT-tXW4rS	NA	Breast carcinoma	C4872	NA
ACH-000722	SNU-C1	SNUC1	SNUC1_LARGE_INTESTINE	NA	910905	Male	ATCC	CVCL_1708	1066	abdomen	Metastasis	Colon/Colorectal Cancer	Adenocarcinoma	71	SIDM01197	NA	colorectal	colorectal_adenocarcinoma	NA	NA	2D: mixed adherent and suspension	NA	NA	PT-04KbrE	NA	Colon adenocarcinoma	C4349	NA
ACH-000724	HT-1376	HT1376	HT1376_URINARY_TRACT	NA	907066	Female	ATCC	CVCL_1292	1211	urinary_tract	Primary	Bladder Cancer	Carcinoma	58	SIDM00678	NA	urinary_tract	bladder_carcinoma	NA	NA	2D: adherent	NA	NA	PT-B0Dqk6	NA	Bladder carcinoma	C4912	NA
ACH-000725	HCC202	HCC202	HCC202_BREAST	NA	1290906	Female	ATCC	CVCL_2062	1552	breast	Primary	Breast Cancer	Breast Ductal Carcinoma	82	SIDM00870	NA	breast	breast_ductal_carcinoma	ERneg_HER2pos	HER2_amp	2D: adherent	NA	NA	PT-gUhFHU	NA	Breast ductal carcinoma	C4017	NA
ACH-000727	NCI-H2066	NCIH2066	NCIH2066_LUNG	NA	1330973	Female	ATCC	CVCL_1520	1073	lung	Primary	Lung Cancer	Small Cell Lung Cancer (SCLC)	70	SIDM00711	NA	lung	SCLC	NA	NA	NA	NA	NA	PT-6N2wxK	NA	Lung squamous cell carcinoma	C3493	NA
ACH-000729	NCI-H1963	NCIH1963	NCIH1963_LUNG	H1963	688010	Male	ATCC	CVCL_1510	1570	lung	Primary	Lung Cancer	Small Cell Lung Cancer (SCLC)	56	SIDM00760	NA	lung	SCLC	NA	NA	2D: adherent	NA	NA	PT-LzHDTV	NA	Lung small cell carcinoma	C4917	NA
ACH-000730	SK-MEL-5	SKMEL5	SKMEL5_SKIN	NA	905956	Female	ATCC	CVCL_0527	1491	lymph_node	Metastasis	Skin Cancer	Melanoma	24	SIDM00080	NA	skin	melanoma	NA	NA	2D: adherent	NA	NA	PT-2vBUWf	NA	Cutaneous melanoma	C3510	NA
ACH-000731	HCC-2279	HCC2279	HCC2279_LUNG	NA	NA	Female	KCLB	CVCL_5131	NA	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	52	NA	NA	lung	NSCLC	NSCLC_adenocarcinoma	NA	NA	NA	NA	PT-GWlgbv	NA	Lung adenosquamous carcinoma	C9133	NA
ACH-000732	PE/CA-PJ41 (clone D2)	PECAPJ41CLONED2	PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT	NA	NA	Female	ECACC	CVCL_2680	NA	upper_aerodigestive_tract	Primary	Head and Neck Cancer	Squamous Cell Carcinoma, oral	67	NA	NA	upper_aerodigestive	upper_aerodigestive_squamous	oral	NA	2D: adherent	NA	NA	PT-mK3rFG	NA	Oral cavity squamous cell carcinoma	C4833	NA
ACH-000733	NCI-H1838	NCIH1838	NCIH1838_LUNG	NA	687807	Female	ATCC	CVCL_1499	1690	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NA	SIDM00769	NA	lung	NSCLC	NSCLC_adenocarcinoma	NA	2D: adherent	NA	NA	PT-eGglPA	NA	Lung adenocarcinoma	C3512	NA
ACH-000734	JHH-5	JHH5	JHH5_LIVER	NA	NA	Male	HSRRB	CVCL_0364	NA	liver	Primary	Liver Cancer	Hepatocellular Carcinoma	50	NA	NA	liver	hepatocellular_carcinoma	NA	NA	NA	NA	NA	PT-s6JoAb	NA	Adult hepatocellular carcinoma	C7956	NA
ACH-000735	PE/CA-PJ49	PECAPJ49	PECAPJ49_UPPER_AERODIGESTIVE_TRACT	NA	NA	Male	ECACC	CVCL_2681	NA	upper_aerodigestive_tract	Primary	Head and Neck Cancer	Squamous Cell Carcinoma, oral	57	NA	NA	upper_aerodigestive	upper_aerodigestive_squamous	oral	NA	2D: adherent	NA	NA	PT-M3R2ei	NA	Tongue squamous cell carcinoma	C4648	NA
ACH-000736	SNU-601	SNU601	SNU601_STOMACH	NA	NA	Male	KCLB	CVCL_0101	NA	ascites	Metastasis	Gastric Cancer	Adenocarcinoma, signet ring cell	34	NA	NA	gastric	gastric_adenocarcinoma	signet_ring_cell	NA	NA	NA	NA	PT-2GXHBV	NA	Gastric signet ring cell adenocarcinoma	C5250	NA
ACH-000738	GB-1	GB1	GB1_CENTRAL_NERVOUS_SYSTEM	NA	687568	Male	HSRRB	CVCL_1227	2095	central_nervous_system	Primary	Brain Cancer	Glioblastoma	35	SIDM00581	NA	central_nervous_system	glioma	glioblastoma	NA	NA	NA	NA	PT-8oCN4x	NA	Glioblastoma	C3058	NA
ACH-000739	Hep G2	HEPG2	HEPG2_LIVER	NA	NA	Male	ATCC	CVCL_0027	NA	liver	Primary	Liver Cancer	Hepatocellular Carcinoma	15	SIDM00904	NA	liver	hepatocellular_carcinoma	NA	NA	2D: adherent	NA	NA	PT-qL6HtY	NA	Hepatoblastoma	C3728	Misclassified. Originally thought to be a hepatocellular carcinoma cell line but shown to be from an hepatoblastoma (PubMed=19751877).
ACH-000740	A-253	A253	A253_SALIVARY_GLAND	NA	906794	Male	ATCC	CVCL_1060	2089	upper_aerodigestive_tract	Primary	Head and Neck Cancer	Squamous Cell Carcinoma, salivary gland	54	SIDM00796	NA	upper_aerodigestive	upper_aerodigestive_squamous	salivary_gland	NA	2D: adherent	NA	NA	PT-T4PL7e	NA	Submandibular gland squamous cell carcinoma	C5943	NA
ACH-000742	NA	DM3	DM3_FIBROBLAST	NA	NA	Male	DSMZ	CVCL_2019	NA	fibroblast	NA	Non-Cancerous	Lung	62	NA	NA	fibroblast	fibroblast_lung	NA	NA	2D: adherent	NA	NA	PT-i0Kb8s	NA	Pleural sarcomatoid mesothelioma	C45663	NA
ACH-000743	COR-L95	CORL95	CORL95_LUNG	NA	1297439	Male	ECACC	CVCL_2418	1769	lung	Primary	Lung Cancer	Small Cell Lung Cancer (SCLC)	64	SIDM00521	NA	lung	SCLC	NA	NA	2D: suspension	NA	NA	PT-WpdjRA	NA	Lung small cell carcinoma	C4917	NA
ACH-000744	NCI-H1623	NCIH1623	NCIH1623_LUNG	NA	687798	Male	ATCC	CVCL_1481	1238	lymph_node	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	58	SIDM00747	NA	lung	NSCLC	NSCLC_adenocarcinoma	NA	2D: adherent	NA	NA	PT-9tlxuS	NA	Lung adenocarcinoma	C3512	NA
ACH-000745	MOLP-8	MOLP8	MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	1330950	Male	DSMZ	CVCL_2124	924	haematopoietic_and_lymphoid_tissue	Primary	Myeloma	Multiple Myeloma	52	SIDM00434	NA	plasma_cell	multiple_myeloma	NA	NA	2D: adherent	NA	NA	PT-A75zAQ	NA	Plasma cell myeloma	C3242	NA
ACH-000746	GSS	GSS	GSS_STOMACH	NA	NA	Male	RIKEN	CVCL_8876	NA	liver	Metastasis	Gastric Cancer	Adenocarcinoma	75	NA	NA	gastric	gastric_adenocarcinoma	NA	NA	NA	NA	NA	PT-dpLnUY	NA	Gastric carcinoma	C4911	NA
ACH-000747	NCI-H1703	NCIH1703	NCIH1703_LUNG	NA	908474	Male	ATCC	CVCL_1490	1239	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	54	SIDM00740	NA	lung	NSCLC	NSCLC_squamous	NA	2D: adherent	NA	NA	PT-CmsNht	NA	Lung squamous cell carcinoma	C3493	Indicated to have a TP53 p.Glu285Lys (c.853G>A) mutation according to PubMed=1311061
ACH-000748	SJSA-1	SJSA1	SJSA1_BONE	NA	909717	Male	ATCC	CVCL_1697	1180	bone	Primary	Bone Cancer	Osteosarcoma	19	SIDM01112	NA	bone	osteosarcoma	NA	NA	2D: adherent	NA	NA	PT-OexHxF	NA	Osteosarcoma	C9145	NA
ACH-000749	DMS 273	DMS273	DMS273_LUNG	NA	687985	Female	ECACC	CVCL_1176	1862	pleural_effusion	Metastasis	Lung Cancer	Small Cell Lung Cancer (SCLC)	50	SIDM00522	NA	lung	SCLC	NA	NA	2D: adherent	NA	NA	PT-d1NyBL	NA	Lung small cell carcinoma	C4917	NA
ACH-000750	LOX IMVI	LOXIMVI	LOXIMVI_SKIN	NA	905974	Male	NCI/DCTD	CVCL_1381	401	lymph_node	Metastasis	Skin Cancer	Melanoma	58	SIDM00149	NA	skin	melanoma	NA	NA	NA	NA	NA	PT-jI6Xhs	NA	Amelanotic melanoma	C3802	NA
ACH-000751	OCI-M1	OCIM1	OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	1330985	NA	DSMZ	CVCL_2149	1679	haematopoietic_and_lymphoid_tissue	NA	Leukemia	Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)	62	SIDM00458	NA	blood	AML	M6	NA	NA	NA	NA	PT-0HjWKA	NA	Adult acute myeloid leukemia	C9154	NA
ACH-000752	NCI-H196	NCIH196	NCIH196_LUNG	NA	1240186	Male	ATCC	CVCL_1509	1250	pleural_effusion	Metastasis	Lung Cancer	Small Cell Lung Cancer (SCLC)	68	SIDM00761	NA	lung	SCLC	NA	NA	2D: adherent	NA	NA	PT-8aORoW	NA	Lung small cell carcinoma	C4917	NA
ACH-000753	JMSU-1	JMSU1	JMSU1_URINARY_TRACT	NA	NA	Male	DSMZ	CVCL_2081	NA	ascites	Metastasis	Bladder Cancer	Carcinoma	75	NA	NA	urinary_tract	bladder_carcinoma	NA	NA	2D: adherent	NA	NA	PT-Jv3gwf	NA	Bladder carcinoma	C4912	NA
ACH-000754	L-428	L428	L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	907322	Female	DSMZ	CVCL_1361	1804	pleural_effusion	NA	Lymphoma	B-cell, Hodgkins	37	SIDM00327	NA	lymphocyte	hodgkin_lymphoma	NA	NA	NA	NA	NA	PT-Pi0OS5	NA	Hodgkin lymphoma	C9357	NA
ACH-000755	HCC2218	HCC2218	HCC2218_BREAST	NA	749716	Female	ATCC	CVCL_1263	352	breast	Primary	Breast Cancer	Breast Ductal Carcinoma	38	SIDM00772	NA	breast	breast_ductal_carcinoma	ERneg_HER2pos	HER2_amp	2D: suspension	NA	NA	PT-DxHqyx	NA	Breast ductal carcinoma	C4017	NA
ACH-000756	GI-1	GI1	GI1_CENTRAL_NERVOUS_SYSTEM	NA	906871	Male	RIKEN	CVCL_1231	245	central_nervous_system	Primary	Brain Cancer	Glioblastoma	61	SIDM00273	NA	central_nervous_system	glioma	glioblastoma	NA	2D: adherent	NA	NA	PT-cJo3y3	NA	Gliosarcoma	C3796	NA
ACH-000757	A427	A427	A427_LUNG	NA	910851	Male	Academic lab	CVCL_1055	1839	lung	NA	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	52	SIDM00810	NA	lung	NSCLC	NSCLC_adenocarcinoma	NA	NA	NA	NA	PT-kI5CjI	NA	Lung adenocarcinoma	C3512	NA
ACH-000758	MKN74	MKN74	MKN74_STOMACH	NA	NA	Male	HSRRB	CVCL_2791	NA	liver	Metastasis	Gastric Cancer	Adenocarcinoma	37	SIDM00248	NA	gastric	gastric_adenocarcinoma	NA	NA	NA	NA	NA	PT-T2KFTw	NA	Gastric tubular adenocarcinoma	C5473	NA
ACH-000759	MDA-MB-175-VII	MDAMB175VII	MDAMB175VII_BREAST	NA	908120	Female	ATCC	CVCL_1400	50	pleural_effusion	Metastasis	Breast Cancer	Breast Ductal Carcinoma	56	SIDM00633	NA	breast	breast_ductal_carcinoma	ERpos_HER2neg	HER2_amp	2D: adherent	NA	NA	PT-maODOx	NA	Invasive breast carcinoma of no special type	C4194	NA
ACH-000760	LNZ308	LNZ308	LNZ308_CENTRAL_NERVOUS_SYSTEM	NA	NA	Male	Academic lab	CVCL_0394	NA	central_nervous_system	NA	Brain Cancer	Glioblastoma	60	SIDM00682	NA	central_nervous_system	glioma	glioblastoma	NA	NA	NA	NA	PT-zboiLS	NA	Astrocytoma	C60781	NA
ACH-000762	YD-38	YD38	YD38_UPPER_AERODIGESTIVE_TRACT	NA	NA	Male	KCLB	CVCL_L083	NA	upper_aerodigestive_tract	NA	Head and Neck Cancer	Squamous Cell Carcinoma	67	NA	NA	upper_aerodigestive	upper_aerodigestive_squamous	NA	NA	NA	NA	NA	PT-M2rHki	NA	Gingival squamous cell carcinoma	C129857	NA
ACH-000763	MM1-S	MM1S	MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	1659818	Female	Academic lab	CVCL_8792	995	haematopoietic_and_lymphoid_tissue	Primary	Myeloma	Multiple Myeloma	45	SIDM01265	NA	plasma_cell	multiple_myeloma	NA	NA	2D: mixed adherent and suspension	NA	NA	PT-wvxTew	NA	Plasma cell myeloma	C3242	NA
ACH-000764	SH-10-TC	SH10TC	SH10TC_STOMACH	NA	NA	NA	RIKEN	CVCL_5167	NA	stomach	Primary	Gastric Cancer	Adenocarcinoma, mucinous	NA	NA	NA	gastric	gastric_adenocarcinoma	mucinous	NA	2D: adherent	NA	NA	PT-dxw7SI	NA	Gastric mucinous adenocarcinoma	C5248	NA
ACH-000765	WM-983B	WM983B	WM983B_SKIN	NA	NA	Male	Academic lab	CVCL_6809	NA	lymph_node	Metastasis	Skin Cancer	Melanoma	54	NA	NA	skin	melanoma	NA	NA	NA	NA	NA	PT-mH5ckQ	NA	Melanoma	C3224	The reported STR profile from Wistar of this cell line was changed at one point between February 2016 when we retrieved them and entered them in the Cellosaurus and May 2018. The major changes were: deletion of D18S51: 14
ACH-000766	NCI-H1648	NCIH1648	NCIH1648_LUNG	NA	687799	Male	ATCC	CVCL_1482	712	lymph_node	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	39	SIDM00746	NA	lung	NSCLC	NSCLC_adenocarcinoma	NA	2D: mixed adherent and suspension	NA	NA	PT-wZGKqJ	NA	Lung adenocarcinoma	C3512	NA
ACH-000767	NCI-H526	NCIH526	NCIH526_LUNG	NA	688025	Male	ATCC	CVCL_1569	1380	bone_marrow	Metastasis	Lung Cancer	Small Cell Lung Cancer (SCLC)	55	SIDM01128	NA	lung	SCLC	NA	NA	2D: suspension	NA	NA	PT-1nXRn7	NA	Lung small cell carcinoma	C4917	NA
ACH-000768	MDA-MB-231	MDAMB231	MDAMB231_BREAST	NA	905960	Female	ATCC	CVCL_0062	1013	pleural_effusion	Metastasis	Breast Cancer	Carcinoma	51	SIDM00146	NA	breast	breast_carcinoma	ERneg_HER2neg	basal_B	2D: adherent	NA	NA	PT-pYG6Rc	NA	Breast adenocarcinoma	C5214	NA
ACH-000769	LK-2	LK2	LK2_LUNG	NA	687787	Male	RIKEN	CVCL_1377	45	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	74	SIDM00548	NA	lung	NSCLC	NSCLC_squamous	NA	2D: adherent	NA	NA	PT-U2PG43	NA	Lung squamous cell carcinoma	C3493	NA
ACH-000770	P31/FUJ	P31FUJ	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	909253	Male	HSRRB	CVCL_1632	642	haematopoietic_and_lymphoid_tissue	NA	Leukemia	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)	7	SIDM00363	NA	blood	AML	M5	NA	NA	NA	NA	PT-7N6azV	NA	Childhood acute myeloid leukemia	C9160	NRAS mutation indicated to be at p.Gly12Asp (c.35G>A) in PubMed=9379676
ACH-000771	BICR 56	BICR56	BICR56_UPPER_AERODIGESTIVE_TRACT	NA	NA	Female	ECACC	CVCL_2313	NA	upper_aerodigestive_tract	Primary	Head and Neck Cancer	Squamous Cell Carcinoma, oral	NA	NA	NA	upper_aerodigestive	upper_aerodigestive_squamous	oral	NA	2D: adherent	NA	NA	PT-59aO2P	NA	Tongue squamous cell carcinoma	C4648	NA
